product_name,generic_name,dosage_form,strength,units_per_pack,manufacturer,lot_no,mfg_date,exp_date,gtin13_ean13,text_payload_code128_qr,gs1_pack_datamatrix,carton_gtin14,packs_per_carton,gs1_carton_gs1_128
Paracetamol 500 mg Tablets,Paracetamol,Tablet,500 mg,100,SampleCare Pharma Inc.,LOT2409A,2026-09-01,2028-08-31,4800123456786,PARACETAMOL 500 MG TABLETS|QTY:100|LOT2409A|MFG:2026-09-01|EXP:2028-08-31,(01)04800123456786(17)280831(10)LOT2409A,14800123456783,24,(02)04800123456786(37)24(17)280831(10)LOT2409A
Ibuprofen 400 mg Tablets,Ibuprofen,Tablet,400 mg,100,SampleCare Pharma Inc.,LOT2409B,2026-09-01,2028-08-31,4800123456793,IBUPROFEN 400 MG TABLETS|QTY:100|LOT2409B|MFG:2026-09-01|EXP:2028-08-31,(01)04800123456793(17)280831(10)LOT2409B,14800123456790,24,(02)04800123456793(37)24(17)280831(10)LOT2409B
Amoxicillin 500 mg Capsules,Amoxicillin,Capsule,500 mg,100,SampleCare Pharma Inc.,LOT2410A,2026-09-01,2028-08-31,4800123456809,AMOXICILLIN 500 MG CAPSULES|QTY:100|LOT2410A|MFG:2026-09-01|EXP:2028-08-31,(01)04800123456809(17)280831(10)LOT2410A,14800123456806,12,(02)04800123456809(37)12(17)280831(10)LOT2410A
Cetirizine 10 mg Tablets,Cetirizine,Tablet,10 mg,30,SampleCare Pharma Inc.,LOT2410B,2026-09-01,2028-08-31,4800123456816,CETIRIZINE 10 MG TABLETS|QTY:30|LOT2410B|MFG:2026-09-01|EXP:2028-08-31,(01)04800123456816(17)280831(10)LOT2410B,14800123456813,48,(02)04800123456816(37)48(17)280831(10)LOT2410B
Losartan 50 mg Tablets,Losartan Potassium,Tablet,50 mg,30,SampleCare Pharma Inc.,LOT2411A,2026-09-01,2028-08-31,4800123456823,LOSARTAN 50 MG TABLETS|QTY:30|LOT2411A|MFG:2026-09-01|EXP:2028-08-31,(01)04800123456823(17)280831(10)LOT2411A,14800123456820,36,(02)04800123456823(37)36(17)280831(10)LOT2411A
Metformin 500 mg Tablets,Metformin HCl,Tablet,500 mg,100,SampleCare Pharma Inc.,LOT2411B,2026-09-01,2028-08-31,4800123456830,METFORMIN 500 MG TABLETS|QTY:100|LOT2411B|MFG:2026-09-01|EXP:2028-08-31,(01)04800123456830(17)280831(10)LOT2411B,14800123456837,24,(02)04800123456830(37)24(17)280831(10)LOT2411B
Omeprazole 20 mg Capsules,Omeprazole,Capsule,20 mg,28,SampleCare Pharma Inc.,LOT2412A,2026-09-01,2028-08-31,4800123456847,OMEPRAZOLE 20 MG CAPSULES|QTY:28|LOT2412A|MFG:2026-09-01|EXP:2028-08-31,(01)04800123456847(17)280831(10)LOT2412A,14800123456844,20,(02)04800123456847(37)20(17)280831(10)LOT2412A
Salbutamol 2 mg/5 mL Syrup,Salbutamol,Syrup,2 mg/5 mL,1,SampleCare Pharma Inc.,LOT2412B,2026-09-01,2028-08-31,4800123456854,SALBUTAMOL 2 MG/5 ML SYRUP|QTY:1|LOT2412B|MFG:2026-09-01|EXP:2028-08-31,(01)04800123456854(17)280831(10)LOT2412B,14800123456851,48,(02)04800123456854(37)48(17)280831(10)LOT2412B
Amlodipine 5 mg Tablets,Amlodipine,Tablet,5 mg,30,SampleCare Pharma Inc.,LOT2501A,2026-09-01,2028-08-31,4800123456861,AMLODIPINE 5 MG TABLETS|QTY:30|LOT2501A|MFG:2026-09-01|EXP:2028-08-31,(01)04800123456861(17)280831(10)LOT2501A,14800123456868,36,(02)04800123456861(37)36(17)280831(10)LOT2501A
Vitamin C 500 mg Tablets,Ascorbic Acid,Tablet,500 mg,100,SampleCare Pharma Inc.,LOT2501B,2026-09-01,2028-08-31,4800123456878,VITAMIN C 500 MG TABLETS|QTY:100|LOT2501B|MFG:2026-09-01|EXP:2028-08-31,(01)04800123456878(17)280831(10)LOT2501B,14800123456875,50,(02)04800123456878(37)50(17)280831(10)LOT2501B
